Property,Submarket,Market
"Core Scottsdale, The",North Scottsdale,Phoenix
"Halsten at Chauncey Lane, The",North Scottsdale,Phoenix
Park Place at Fountain Hills,North Scottsdale,Phoenix
Regents at Scottsdale,North Scottsdale,Phoenix
San Artes,North Scottsdale,Phoenix
San Portales,North Scottsdale,Phoenix
Carter,South Scottsdale,Phoenix
Gramercy Scottsdale,South Scottsdale,Phoenix
San Travesia,South Scottsdale,Phoenix
"Astor at Osborn, The",Uptown,Phoenix
Level at Sixteenth,Uptown,Phoenix
