Property name,Type
"Residences at Stadium Village, The",Garden Style
Riata,Garden Style
Rio Santa Fe,Garden Style
Sage Stone,Garden Style
SALT,Garden Style
San Artes,Garden Style
San Capella,Garden Style
San Carlos,Garden Style
San Cervantes,Garden Style
San Cierra,Garden Style
San Hacienda,Garden Style
San Lagos,Garden Style
San Marbeya,Garden Style
San Marino,Garden Style
San Melia,Garden Style
San Milan,Garden Style
San Norterra,Garden Style
San Palacio,Garden Style
San Palmas,Garden Style
San Palmilla,Garden Style
San Paseo,Garden Style
San Paulo,Garden Style
San Pedregal,Garden Style
San Piedra,Garden Style
San Portales,Garden Style
San Portella,Garden Style
San Posada,Garden Style
San Prado,Garden Style
San Privada,Garden Style
San Riva at the Foothills,Garden Style
San Sonoma,Garden Style
San Tan by Baron,Garden Style
San Tierra,Garden Style
San Travesia,Garden Style
San Valencia,Garden Style
San Valiente,Garden Style
San Villante,Garden Style
Santa Rosa,Garden Style
Scottsdale Highlands,Garden Style
Scottsdale Highlands,Garden Style
Serafina at South Mountain,Garden Style
Seven,Garden Style
Shade at Desert Ridge,Garden Style
Shadow Hills at Lone Mountain,Garden Style
Sierra Canyon Apartment Homes,Garden Style
Sierra Foothills,Garden Style
Sky at Chandler Airpark,Garden Style
SkySong,Mid-Rise
Skywater at Town Lake,Mid-Rise
Slate Scottsdale,Garden Style
Sonoma Ridge,Garden Style
Sonoran Vista,Garden Style
Sonterra,Garden Style
Stadium Vue Townhomes,Garden Style
"Standard, The",Garden Style
Sterling Point,Garden Style
Stone Oaks,Garden Style
Stonebridge Ranch,Garden Style
Strayhorse,Garden Style
Summerly at Zanjero,Garden Style
Summit at San Marcos,Mid-Rise
Symphony,Garden Style
Tamarron,Garden Style
Tempe Metro,Mid-Rise
Tempe Station,Garden Style
Tempo at McClintock Station,Garden Style
Terra Villa,Garden Style
Tides at Paradise Valley,Garden Style
Tierra Villas at Lone Mountain,Garden Style
"TomScot, The",Mid-Rise
Town Center,Garden Style
Town Commons,Garden Style
Towne Square,Garden Style
"Trails at San Tan, The",Garden Style
"Trend at 51, The",Mid-Rise
Tresa at Arrowhead,Garden Style
Trevi,Garden Style
Trovita Rio,Mid-Rise
"Turn, The",Garden Style
Union Tempe,High-Rise
VELA,Mid-Rise
Vela on Camelback,Mid-Rise
Velaire at Aspera,Garden Style
"Ventura, The",Garden Style
View 32,Garden Style
"View at Cascade, The",Garden Style
Villa Vita,Garden Style
Village at Harvard Crossing,SFR
"Village at West Point, The",Garden Style
Villas on Bell,Garden Style
Villas on Olive,SFR
"Vintage, The",Garden Style
Vista Grove,Garden Style
Vistara at Santan Village,Garden Style
Vitri,Mid-Rise
Vive,Garden Style
Vue Park West,Garden Style
Waterford at Peoria,Garden Style
Watermark at Gateway Place,Garden Style
Waterside at Ocotillo,Garden Style
West 6th,High-Rise
Zone,Garden Style
Zone Luxe,Garden Style
